ABW,Aruba,106501.0	
AFG,Afghanistan,3.9618434E7	
AGO,Angola,3.3957975E7	
AIA,Anguilla,15675.0	
ALB,Albania,2861567.0	
AND,Andorra,78380.0	
ARE,United Arab Emirates,9327028.0	
ARG,Argentina,4.5163623E7	
ARM,Armenia,2798721.0	
ASM,American Samoa,45624.0	
ATG,Antigua and Barbuda,92951.0	
AUS,Australia,2.5795922E7	
AUT,Austria,8914448.0	
AZE,Azerbaijan,1.0296374E7	
BDI,Burundi,1.2386556E7	
BEL,Belgium,1.158216E7	
BEN,Benin,1.2819427E7	
BES,"Bonaire, Sint Eustatius and Saba",26443.0	
BFA,Burkina Faso,2.1813359E7	
BGD,Bangladesh,1.68414908E8	
BGR,Bulgaria,6938114.0	
BHR,Bahrain,1460905.0	
BHS,Bahamas,407164.0	
BIH,Bosnia and Herzegovina,3295841.0	
BLM,Saint Barthélemy,10768.0	
BLR,Belarus,9606437.0	
BLZ,Belize,397415.0	
BMU,Bermuda,64134.0	
BOL,Bolivia (Plurinational State of),1.2009978E7	
BRA,Brazil,2.13827672E8	
BRB,Barbados,280959.0	
BRN,Brunei Darussalam,443557.0	
BTN,Bhutan,775008.0	
BWA,Botswana,2569263.0	
CAF,Central African Republic,5414014.0	
CAN,Canada,3.8019178E7	
CHE,Switzerland,8670795.0	
CHL,Chile,1.9393941E7	
CHN,China,1.425861543E9	
CIV,Côte d'Ivoire,2.7146007E7	
CMR,Cameroon,2.6845044E7	
COD,Democratic Republic of the Congo,9.4374379E7	
COG,Congo,5769060.0	
COK,Cook Islands,17016.0	
COL,Colombia,5.1244297E7	
COM,Comoros,814006.0	
CPV,Cabo Verde,585347.0	
CRI,Costa Rica,5140851.0	
CUB,Cuba,1.129216E7	
CUW,Curaçao,189973.0	
CYM,Cayman Islands,67879.0	
CYP,Cyprus,1241296.0	
CZE,Czechia,1.0523996E7	
DEU,Germany,8.339032E7	
DJI,Djibouti,1097968.0	
DMA,Dominica,72225.0	
